report_month,price_range,listings,sales_prev_12mo,months_inventory,source_pdf,parsed_at
2024-01,"$125,000 - $249,999",6568.0,29820.0,2.6,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,$1M - $1.99M,2214.0,4832.0,5.5,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"$250,000 - $374,999",13240.0,47287.0,3.4,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,$2M and up,793.0,895.0,10.7,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"$375,000 - $499,999",9378.0,32149.0,3.5,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"$500,000 - $624,999",4021.0,13460.0,3.6,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"$625,000 - $749,999",2439.0,8402.0,3.5,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"$750,000 - $874,999",1408.0,4301.0,3.9,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"$875,000 - $999,999",1055.0,2644.0,4.8,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-01,"Below $125,000",1247.0,5734.0,2.6,data\pdfs\nc_housing_2024-01.pdf,2026-02-23 15:47:55
2024-02,"$125,000 - $249,999",6784.0,29329.0,2.8,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
2024-02,$1M - $1.99M,2431.0,4897.0,6.0,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
2024-02,"$250,000 - $374,999",12940.0,47415.0,3.3,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
2024-02,$2M and up,824.0,916.0,10.8,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
2024-02,"$375,000 - $499,999",9342.0,32131.0,3.5,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
2024-02,"$500,000 - $624,999",4165.0,13465.0,3.7,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
2024-02,"$625,000 - $749,999",2591.0,8464.0,3.7,data\pdfs\nc_housing_2024-02.pdf,2026-02-23 15:48:34
