fetched_at,report_month,page_url,pdf_url,pdf_filename,local_pdf_path,download_status,download_notes
2026-01-20 12:14:47,2025-12,https://www.ncrealtors.org/december-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/December-2025-Housing-Report.pdf,nc_housing_2025-12.pdf,data\pdfs\nc_housing_2025-12.pdf,success,downloaded
2026-01-20 12:14:48,2025-11,https://www.ncrealtors.org/november-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/November-2025-Housing-Report.pdf,nc_housing_2025-11.pdf,data\pdfs\nc_housing_2025-11.pdf,success,downloaded
2026-01-20 12:14:48,2025-10,https://www.ncrealtors.org/october-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/October-2025-Housing-Report.pdf,nc_housing_2025-10.pdf,data\pdfs\nc_housing_2025-10.pdf,success,downloaded
2026-01-20 12:14:49,2025-09,https://www.ncrealtors.org/september-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/September-2025-Housing-Report.pdf,nc_housing_2025-09.pdf,data\pdfs\nc_housing_2025-09.pdf,success,downloaded
2026-01-20 12:14:50,2025-08,https://www.ncrealtors.org/august-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/August-2025-Housing-Report.pdf,nc_housing_2025-08.pdf,data\pdfs\nc_housing_2025-08.pdf,success,downloaded
2026-01-20 12:14:50,2025-07,https://www.ncrealtors.org/july-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/July-2025-Housing-Report.pdf,nc_housing_2025-07.pdf,data\pdfs\nc_housing_2025-07.pdf,success,downloaded
2026-01-20 12:14:51,2025-06,https://www.ncrealtors.org/june-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/June-2025-Housing-Report.pdf,nc_housing_2025-06.pdf,data\pdfs\nc_housing_2025-06.pdf,success,downloaded
2026-01-20 12:14:51,2025-05,https://www.ncrealtors.org/may-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/May-2025-Housing-Report.pdf,nc_housing_2025-05.pdf,data\pdfs\nc_housing_2025-05.pdf,success,downloaded
2026-01-20 12:14:52,2025-04,https://www.ncrealtors.org/april-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/April-2025-Housing-Report.pdf,nc_housing_2025-04.pdf,data\pdfs\nc_housing_2025-04.pdf,success,downloaded
2026-01-20 12:14:53,2025-03,https://www.ncrealtors.org/march-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/February-2025-Housing-Report.pdf,nc_housing_2025-03.pdf,data\pdfs\nc_housing_2025-03.pdf,success,downloaded
2026-01-20 12:14:53,2025-02,https://www.ncrealtors.org/february-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/February-2025-Housing-Report.pdf,nc_housing_2025-02.pdf,data\pdfs\nc_housing_2025-02.pdf,success,downloaded
2026-01-20 12:14:54,2025-01,https://www.ncrealtors.org/january-2025-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/January-2025-Housing-Report.pdf,nc_housing_2025-01.pdf,data\pdfs\nc_housing_2025-01.pdf,success,downloaded
2026-01-20 12:14:54,2024-12,https://www.ncrealtors.org/december-2024-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/December-2024-Housing-Report.pdf,nc_housing_2024-12.pdf,data\pdfs\nc_housing_2024-12.pdf,success,downloaded
2026-01-20 12:14:55,2024-11,https://www.ncrealtors.org/november-2024-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/November-2024-Housing-Report.pdf,nc_housing_2024-11.pdf,data\pdfs\nc_housing_2024-11.pdf,success,downloaded
2026-01-20 12:14:56,2024-10,https://www.ncrealtors.org/october-2024-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/October-2024-Housing-Report.pdf,nc_housing_2024-10.pdf,data\pdfs\nc_housing_2024-10.pdf,success,downloaded
2026-01-20 12:14:56,2024-09,https://www.ncrealtors.org/september-2024-nc-housing-report/,https://www.ncrealtors.org/wp-content/uploads/September-2024-Housing-Report.pdf,nc_housing_2024-09.pdf,data\pdfs\nc_housing_2024-09.pdf,success,downloaded
